all_redund_count,4,8,6,5,5,4,10,10,6,8,5,20,33,7,14,4,4,5,5,15,7,7,4,8,4,7,4,4,7,7,4,4,20,4,5,4,4,5,7,15,14,6,4,4,4,4,6,4,7,5,10,5,6,4,10,4,7,4,16,4,5,6,6,5,16,4
free_redund_count,1,1,1,2,1,1,3,7,2,4,1,1,31,1,3,1,1,1,4,4,3,3,1,2,2,1,1,1,1,2,2,1,5,2,3,1,1,1,2,4,2,1,2,1,3,2,4,1,1,1,5,1,4,1,7,1,1,1,4,1,1,2,1,1,4,3
complex_redund_count,3,7,5,3,4,3,7,3,4,4,4,19,2,6,11,3,3,4,1,11,4,4,3,6,2,6,3,3,6,5,2,3,15,2,2,3,3,4,5,11,12,5,2,3,1,2,2,3,6,4,5,4,2,3,3,3,6,3,12,3,4,4,5,4,12,1
