'Ab_set_id','Category','P-Angles'
56,'sd_complex_sets',2.6195914
57,'sd_complex_sets',0.6949336
58,'sd_complex_sets',0.9445076
59,'sd_complex_sets',1.0788395
60,'sd_complex_sets',2.5880305
61,'sd_complex_sets',1.9385085
62,'sd_complex_sets',3.7383451
63,'sd_complex_sets',1.348279
64,'sd_complex_sets',0.4508779
65,'sd_complex_sets',1.0788395
66,'"sd_complex_groups"',
1,'"sd_redund_10plus"',
2,'"sd_redund_10plus"',
3,'"sd_redund_10plus"',
4,'"sd_redund_10plus"',
5,'"sd_redund_10plus"',
6,'"sd_redund_10plus"',
7,'sd_redund_10plus',1.4302644
8,'sd_redund_10plus',3.3132728
9,'"sd_redund_10plus"',
10,'"sd_redund_10plus"',
11,'"sd_redund_10plus"',
12,'sd_redund_10plus',0.8539609
13,'sd_redund_10plus',0.4805259
14,'"sd_redund_10plus"',
15,'sd_redund_10plus',0.67355
16,'"sd_redund_10plus"',
17,'"sd_redund_10plus"',
18,'"sd_redund_10plus"',
19,'"sd_redund_10plus"',
20,'sd_redund_10plus',1.0792269
21,'"sd_redund_10plus"',
22,'"sd_redund_10plus"',
23,'"sd_redund_10plus"',
24,'"sd_redund_10plus"',
25,'"sd_redund_10plus"',
26,'"sd_redund_10plus"',
27,'"sd_redund_10plus"',
28,'"sd_redund_10plus"',
29,'"sd_redund_10plus"',
30,'"sd_redund_10plus"',
31,'"sd_redund_10plus"',
32,'"sd_redund_10plus"',
33,'sd_redund_10plus',1.3214668
34,'"sd_redund_10plus"',
35,'"sd_redund_10plus"',
36,'"sd_redund_10plus"',
37,'"sd_redund_10plus"',
38,'"sd_redund_10plus"',
39,'"sd_redund_10plus"',
40,'sd_redund_10plus',1.3011443
41,'sd_redund_10plus',0.5859999
42,'"sd_redund_10plus"',
43,'"sd_redund_10plus"',
44,'"sd_redund_10plus"',
45,'"sd_redund_10plus"',
46,'"sd_redund_10plus"',
47,'"sd_redund_10plus"',
48,'"sd_redund_10plus"',
49,'"sd_redund_10plus"',
50,'"sd_redund_10plus"',
51,'sd_redund_10plus',0.8916901
52,'"sd_redund_10plus"',
53,'"sd_redund_10plus"',
54,'"sd_redund_10plus"',
55,'sd_redund_10plus',3.3132728
56,'"sd_redund_10plus"',
57,'"sd_redund_10plus"',
58,'"sd_redund_10plus"',
59,'sd_redund_10plus',1.0860547
60,'"sd_redund_10plus"',
61,'"sd_redund_10plus"',
62,'"sd_redund_10plus"',
63,'"sd_redund_10plus"',
64,'"sd_redund_10plus"',
65,'sd_redund_10plus',1.0860547
66,'sd_redund_10plus',
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
