'Ab_set_id','Category','P-Angles'
53,'mean_complex_sets',-47.46754
54,'mean_complex_sets',-46.45492
55,'mean_complex_sets',-46.96618
56,'mean_complex_sets',-47.8951
57,'mean_complex_sets',-48.71311
58,'mean_complex_sets',-46.12303
59,'mean_complex_sets',-44.68243
60,'mean_complex_sets',-49.14462
61,'mean_complex_sets',-45.63461
62,'mean_complex_sets',-49.94884
63,'mean_complex_sets',-52.50881
64,'mean_complex_sets',-44.48501
65,'mean_complex_sets',-44.68243
66,'mean_complex_sets',-49.10034
1,'all_redund_count',4
2,'all_redund_count',8
3,'all_redund_count',6
4,'all_redund_count',5
5,'all_redund_count',5
6,'all_redund_count',4
7,'all_redund_count',10
8,'all_redund_count',10
9,'all_redund_count',6
10,'all_redund_count',8
11,'all_redund_count',5
12,'all_redund_count',20
13,'all_redund_count',33
14,'all_redund_count',7
15,'all_redund_count',14
16,'all_redund_count',4
17,'all_redund_count',4
18,'all_redund_count',5
19,'all_redund_count',5
20,'all_redund_count',15
21,'all_redund_count',7
22,'all_redund_count',7
23,'all_redund_count',4
24,'all_redund_count',8
25,'all_redund_count',4
26,'all_redund_count',7
27,'all_redund_count',4
28,'all_redund_count',4
29,'all_redund_count',7
30,'all_redund_count',7
31,'all_redund_count',4
32,'all_redund_count',4
33,'all_redund_count',20
34,'all_redund_count',4
35,'all_redund_count',5
36,'all_redund_count',4
37,'all_redund_count',4
38,'all_redund_count',5
39,'all_redund_count',7
40,'all_redund_count',15
41,'all_redund_count',14
42,'all_redund_count',6
43,'all_redund_count',4
44,'all_redund_count',4
45,'all_redund_count',4
46,'all_redund_count',4
47,'all_redund_count',6
48,'all_redund_count',4
49,'all_redund_count',7
50,'all_redund_count',5
51,'all_redund_count',10
52,'all_redund_count',5
53,'all_redund_count',6
54,'all_redund_count',4
55,'all_redund_count',10
56,'all_redund_count',4
57,'all_redund_count',7
58,'all_redund_count',4
59,'all_redund_count',16
60,'all_redund_count',4
61,'all_redund_count',5
62,'all_redund_count',6
63,'all_redund_count',6
64,'all_redund_count',5
65,'all_redund_count',16
66,'all_redund_count',4
1,'free_redund_count',1
2,'free_redund_count',1
3,'free_redund_count',1
4,'free_redund_count',2
5,'free_redund_count',1
6,'free_redund_count',1
7,'free_redund_count',3
8,'free_redund_count',7
9,'free_redund_count',2
10,'free_redund_count',4
11,'free_redund_count',1
12,'free_redund_count',1
13,'free_redund_count',31
14,'free_redund_count',1
15,'free_redund_count',3
16,'free_redund_count',1
17,'free_redund_count',1
18,'free_redund_count',1
19,'free_redund_count',4
20,'free_redund_count',4
21,'free_redund_count',3
22,'free_redund_count',3
23,'free_redund_count',1
24,'free_redund_count',2
25,'free_redund_count',2
26,'free_redund_count',1
27,'free_redund_count',1
28,'free_redund_count',1
29,'free_redund_count',1
30,'free_redund_count',2
31,'free_redund_count',2
32,'free_redund_count',1
