Ab_set_id,Data_set,Mean,Redundancy,Median
29,Complex_pdb,-45.66217,6,
30,Complex_pdb,-45.62207,5,
31,Complex_pdb,-42.34761,2,
32,Complex_pdb,-46.3543,3,
33,Complex_pdb,-44.1161,15,
34,Complex_pdb,-44.65764,2,
35,Complex_pdb,-41.85407,2,
36,Complex_pdb,-47.6218,3,
37,Complex_pdb,-39.15227,3,
38,Complex_pdb,-48.75985,4,
39,Complex_pdb,-47.58023,5,
40,Complex_pdb,-43.91249,11,
41,Complex_pdb,-47.92461,12,
42,Complex_pdb,-46.66967,5,
43,Complex_pdb,-51.3188,2,
44,Complex_pdb,-44.50837,3,
45,Complex_pdb,-48.2851,1,
46,Complex_pdb,-47.06976,2,
47,Complex_pdb,-48.16003,2,
48,Complex_pdb,-44.46214,3,
49,Complex_pdb,-44.24551,6,
50,Complex_pdb,-44.13174,4,
51,Complex_pdb,-42.80526,5,
52,Complex_pdb,-47.4747,4,
53,Complex_pdb,-47.46754,2,
54,Complex_pdb,-46.45492,3,
55,Complex_pdb,-46.96618,3,
56,Complex_pdb,-47.8951,3,
57,Complex_pdb,-48.71311,6,
58,Complex_pdb,-46.12303,3,
59,Complex_pdb,-44.68243,12,
60,Complex_pdb,-49.14462,3,
61,Complex_pdb,-45.63461,4,
62,Complex_pdb,-49.94884,4,
63,Complex_pdb,-52.50881,5,
64,Complex_pdb,-44.48501,4,
65,Complex_pdb,-44.68243,12,
66,Complex_pdb,-49.10034,1,
1,All_redund_(4 to 6),-47.00779,4,
3,All_redund_(4 to 6),-46.79277,6,
4,All_redund_(4 to 6),-47.96295,5,
5,All_redund_(4 to 6),-50.78396,5,
6,All_redund_(4 to 6),-46.85746,4,
9,All_redund_(4 to 6),-48.24005,6,
10,All_redund_(4 to 6),,,
11,All_redund_(4 to 6),-45.1164,5,
16,All_redund_(4 to 6),-47.04676,4,
17,All_redund_(4 to 6),-44.57882,4,
18,All_redund_(4 to 6),-47.53856,5,
19,All_redund_(4 to 6),-42.81734,5,
23,All_redund_(4 to 6),-47.20342,4,
25,All_redund_(4 to 6),-45.32082,4,
27,All_redund_(4 to 6),-46.35405,4,
28,All_redund_(4 to 6),-40.74913,4,
31,All_redund_(4 to 6),-42.19895,4,
32,All_redund_(4 to 6),-45.64351,4,
34,All_redund_(4 to 6),-42.05329,4,
35,All_redund_(4 to 6),-40.50448,5,
36,All_redund_(4 to 6),-47.62677,4,
37,All_redund_(4 to 6),-40.31082,4,
38,All_redund_(4 to 6),-47.7363,5,
42,All_redund_(4 to 6),-46.54823,6,
43,All_redund_(4 to 6),-50.99752,4,
44,All_redund_(4 to 6),-44.12559,4,
45,All_redund_(4 to 6),-47.28586,4,
46,All_redund_(4 to 6),-48.97991,4,
47,All_redund_(4 to 6),-48.2324,6,
48,All_redund_(4 to 6),-44.28034,4,
50,All_redund_(4 to 6),-44.08161,5,
52,All_redund_(4 to 6),-47.77113,5,
53,All_redund_(4 to 6),-47.55775,6,
54,All_redund_(4 to 6),-47.50907,4,
56,All_redund_(4 to 6),-47.10062,4,
58,All_redund_(4 to 6),-47.07617,4,
60,All_redund_(4 to 6),-47.90297,4,
61,All_redund_(4 to 6),-45.26134,5,
62,All_redund_(4 to 6),-49.39572,6,
63,All_redund_(4 to 6),-52.01889,6,
64,All_redund_(4 to 6),-44.55011,5,
66,All_redund_(4 to 6),-49.01676,4,
2,All_redund_(7+),-39.7591,8,
7,All_redund_(7+),-44.36004,10,
8,All_redund_(7+),-44.27024,10,
10,All_redund_(7+),-46.12683,8,
12,All_redund_(7+),-45.95461,20,
