all_ab_groups,mean_all_groups,all_min,all_q25,all_median,all_q75,all_max,mean_free_groups,mean_complex_groups,range_all_groups,range_4_9_redund,sd_4_9_redund,range_free_groups,range_complex_groups,sd_all_groups,sd_free_groups,sd_complex_groups,all_redund_count,free_redund_count,complex_redund_count,range_redund_10plus,sd_redund_10plus,range_free,range_complex,sd_free,sd_complex
27,-46.35405,-48.46554,-47.23953,-46.42853,-45.54305,-44.09359,-44.09359,-47.10754,4.371957,4.371957,1.8168591,,2.439341,1.8168591,,1.2429836,4,1,3,,,,2.439341,,1.2429836
28,-40.74913,-41.44787,-41.27889,-40.7342,-40.20444,-40.08025,-41.44787,-40.51622,1.367615,1.367615,0.6863116,,1.142307,0.6863116,,0.6172886,4,1,3,,,,1.142307,,0.6172886
29,-45.5405,-48.24259,-46.38968,-44.81053,-44.50267,-43.94571,-44.81053,-45.66217,4.296886,4.296886,1.7302306,,4.296886,1.7302306,,1.8622848,7,1,6,,,,4.296886,,1.8622848
30,-44.61245,-46.50957,-46.32818,-45.98763,-43.35069,-40.43221,-42.0884,-45.62207,6.077366,6.077366,2.3239004,3.31239,3.552779,2.3239004,2.3422134,1.5065537,7,2,5,,,3.31239,3.552779,2.3422134,1.5065537
31,-42.19895,-42.71642,-42.39497,-42.13331,-41.93729,-41.81275,-42.05028,-42.34761,0.903666,0.903666,0.3971912,0.475064,0.737612,0.3971912,0.335921,0.5215704,4,2,2,,,0.475064,0.737612,0.335921,0.5215704
32,-45.64351,-51.25127,-45.76861,-43.90581,-43.78071,-43.51115,-43.51115,-46.3543,7.740125,7.740125,3.743246,,7.38071,3.743246,,4.2410524,4,1,3,,,,7.38071,,4.2410524
33,-44.36808,-47.05635,-45.04801,-43.9673,-43.47763,-42.79363,-45.12401,-44.1161,4.262727,,,3.972394,3.956863,1.3214668,1.4668101,1.21783,20,5,15,4.262727,1.3214668,3.972394,3.956863,1.4668101,1.21783
34,-42.05329,-45.43772,-44.2676,-41.70598,-39.49168,-39.36345,-39.44893,-44.65764,6.074268,6.074268,3.0747498,0.170962,1.560169,3.0747498,0.1208884,1.1032061,4,2,2,,,0.170962,1.560169,0.1208884,1.1032061
35,-40.50448,-45.26379,-44.55664,-38.44436,-37.35585,-36.90175,-39.60475,-41.85407,8.362036,8.362036,4.0684333,7.654884,6.819433,4.0684333,4.294468,4.8220673,5,3,2,,,7.654884,6.819433,4.294468,4.8220673
36,-47.62677,-47.93799,-47.71576,-47.57167,-47.48268,-47.42574,-47.64169,-47.6218,0.512255,0.512255,0.22594,,0.512255,0.22594,,0.2764507,4,1,3,,,,0.512255,,0.2764507
37,-40.31082,-43.78645,-40.75114,-39.46654,-39.02621,-38.52375,-43.78645,-39.15227,5.262697,5.262697,2.3698178,,1.215623,2.3698178,,0.6088694,4,1,3,,,,1.215623,,0.6088694
38,-47.7363,-51.40038,-50.30888,-46.87822,-46.4519,-43.64212,-43.64212,-48.75985,7.758262,7.758262,3.1301737,,4.94848,3.1301737,,2.4657009,5,1,4,,,,4.94848,,2.4657009
39,-46.90014,-50.17154,-48.10123,-47.34017,-45.98494,-42.61692,-45.19992,-47.58023,7.554617,7.554617,2.4991428,5.165984,5.50372,2.4991428,3.6529023,2.0022787,7,2,5,,,5.165984,5.50372,3.6529023,2.0022787
40,-44.21646,-46.90432,-44.55685,-43.94945,-43.32087,-42.79363,-45.05236,-43.91249,4.110692,,,3.972394,3.804828,1.3011443,1.6835923,1.067098,15,4,11,4.110692,1.3011443,3.972394,3.804828,1.6835923,1.067098
41,-47.95079,-49.07361,-48.14596,-47.92769,-47.62123,-47.02251,-48.10786,-47.92461,2.051094,,,0.044338,2.051094,0.5859999,0.0313517,0.6328579,14,2,12,2.051094,0.5859999,0.044338,2.051094,0.0313517,0.6328579
42,-46.54823,-47.443,-46.85442,-46.46495,-46.10964,-45.94102,-45.94102,-46.66967,1.501983,1.501983,0.5723703,,1.388423,0.5723703,,0.5467167,6,1,5,,,,1.388423,,0.5467167
43,-50.99752,-51.97095,-51.24928,-50.83768,-50.58592,-50.34377,-50.67624,-51.3188,1.627187,1.627187,0.7034619,0.664953,1.304317,0.7034619,0.4701928,0.9222914,4,2,2,,,0.664953,1.304317,0.4701928,0.9222914
44,-44.12559,-44.78561,-44.67015,-44.36975,-43.8252,-42.97726,-42.97726,-44.50837,1.808345,1.808345,0.8186776,,0.67776,0.8186776,,0.355302,4,1,3,,,,0.67776,,0.355302
45,-47.28586,-48.98551,-48.4602,-47.20031,-46.02597,-45.75732,-46.95278,-48.2851,3.228181,3.228181,1.5909536,3.228181,,1.5909536,1.7694774,,4,3,1,,,3.228181,,1.7694774,
46,-48.97991,-53.1222,-50.26169,-48.98305,-47.70126,-44.83133,-50.89005,-47.06976,8.290868,8.290868,3.3951298,4.464288,4.476863,3.3951298,3.1567283,3.1656202,4,2,2,,,4.464288,4.476863,3.1567283,3.1656202
47,-48.2324,-50.06834,-49.31881,-47.88606,-47.29569,-46.65864,-48.26859,-48.16003,3.409705,3.409705,1.3750913,2.834467,3.002781,1.3750913,1.2819672,2.1232868,6,4,2,,,2.834467,3.002781,1.2819672,2.1232868
48,-44.28034,-45.53985,-44.57982,-43.99738,-43.6979,-43.58676,-43.73495,-44.46214,1.953091,1.953091,0.8879353,,1.953091,0.8879353,,0.9921412,4,1,3,,,,1.953091,,0.9921412
49,-44.08829,-46.48997,-44.61738,-44.33084,-43.3711,-41.8203,-43.14501,-44.24551,4.669678,4.669678,1.4599521,,4.669678,1.4599521,,1.5330156,7,1,6,,,,4.669678,,1.5330156
50,-44.08161,-45.03729,-43.99949,-43.89544,-43.8811,-43.59473,-43.8811,-44.13174,1.442561,1.442561,0.5549751,,1.442561,0.5549751,,0.6276232,5,1,4,,,,1.442561,,0.6276232
51,-42.53223,-44.66877,-42.85593,-42.33794,-42.01556,-41.48213,-42.25921,-42.80526,3.186637,,,1.220381,3.186637,0.8916901,0.4751236,1.173413,10,5,5,3.186637,0.8916901,1.220381,3.186637,0.4751236,1.173413
52,-47.77113,-49.02677,-48.95683,-47.41072,-47.085,-46.37633,-48.95683,-47.4747,2.650443,2.650443,1.1756542,,2.650443,1.1756542,,1.1212049,5,1,4,,,,2.650443,,1.1212049
53,-47.55775,-49.00413,-48.68941,-47.80129,-46.99893,-45.0229,-47.60286,-47.46754,3.981231,3.981231,1.4903738,3.981231,1.270979,1.4903738,1.8505821,0.8987179,6,4,2,,,3.981231,1.270979,1.8505821,0.8987179
54,-47.50907,-52.2028,-51.05432,-47.17719,-43.63193,-43.4791,-50.6715,-46.45492,8.723699,8.723699,4.5793905,,8.723699,4.5793905,,4.9788456,4,1,3,,,,8.723699,,4.9788456
55,-44.27024,-52.14261,-45.36324,-43.40653,-41.93582,-41.20227,-43.11484,-46.96618,10.940336,,,5.449025,8.148378,3.3132728,2.1277319,4.4993098,10,7,3,10.940336,3.3132728,5.449025,8.148378,2.1277319,4.4993098
56,-47.10062,-49.7238,-49.23152,-46.98076,-44.84986,-44.71715,-44.71715,-47.8951,5.006646,5.006646,2.6645233,,4.829705,2.6645233,,2.6195914,4,1,3,,,,4.829705,,2.6195914
57,-48.79216,-49.50989,-49.28196,-49.0581,-48.28531,-47.84262,-49.26647,-48.71311,1.66727,1.66727,0.6679725,,1.66727,0.6679725,,0.6949336,7,1,6,,,,1.66727,,0.6949336
58,-47.07617,-49.93557,-47.89286,-46.42161,-45.60492,-45.52587,-49.93557,-46.12303,4.409698,4.409698,2.0563542,,1.686084,2.0563542,,0.9445076,4,1,3,,,,1.686084,,0.9445076
59,-44.79962,-46.87256,-45.453,-44.96431,-44.13222,-42.50527,-45.1512,-44.68243,4.367285,,,2.720245,3.434451,1.0860547,1.1875222,1.0788395,16,4,12,4.367285,1.0860547,2.720245,3.434451,1.1875222,1.0788395
60,-47.90297,-50.73841,-50.58733,-48.34772,-45.66336,-44.178,-44.178,-49.14462,6.560409,6.560409,3.260688,,4.579929,3.260688,,2.5880305,4,1,3,,,,4.579929,,2.5880305
61,-45.26134,-47.28973,-46.44255,-45.95999,-43.76824,-42.84617,-43.76824,-45.63461,4.443557,4.443557,1.8748411,,4.443557,1.8748411,,1.9385085,5,1,4,,,,4.443557,,1.9385085
62,-49.39572,-54.94264,-50.10825,-48.28949,-47.53592,-46.8535,-48.28949,-49.94884,8.089146,8.089146,3.020829,0.245458,8.089146,3.020829,0.173565,3.7383451,6,2,4,,,0.245458,8.089146,0.173565,3.7383451
63,-52.01889,-54.17737,-53.26223,-51.6894,-51.32337,-49.56932,-49.56932,-52.50881,4.608055,4.608055,1.7012891,,2.929417,1.7012891,,1.348279,6,1,5,,,,2.929417,,1.348279
64,-44.55011,-44.98899,-44.81053,-44.68212,-44.32321,-43.94571,-44.81053,-44.48501,1.04328,1.04328,0.4167273,,1.04328,0.4167273,,0.4508779,5,1,4,,,,1.04328,,0.4508779
65,-44.79962,-46.87256,-45.453,-44.96431,-44.13222,-42.50527,-45.1512,-44.68243,4.367285,,,2.720245,3.434451,1.0860547,1.1875222,1.0788395,16,4,12,4.367285,1.0860547,2.720245,3.434451,1.1875222,1.0788395
66,-49.01676,-49.34996,-49.16275,-49.03071,-48.88472,-48.65566,-48.9889,-49.10034,0.694306,0.694306,0.289543,0.694306,,0.289543,0.347988,,4,3,1,,,0.694306,,0.347988,
