,0%,25%,median,75%,100%
quantile(ag_1),-47.54451,-47.42254,-47.02759,-46.61284,-46.43146
quantile(ag_2),-43.83072,-39.98852,-38.76511,-38.52333,-38.4076
quantile(ag_3),-48.20619,-47.29159,-46.78842,-46.3388,-45.32539
quantile(ag_4),-48.58541,-48.4612,-48.09148,-47.38845,-47.28822
quantile(ag_5),-52.7123,-50.60223,-50.52116,-50.34056,-49.74357
quantile(ag_6),-47.61686,-47.08782,-46.72758,-46.49721,-46.35782
quantile(ag_7),-46.2899,-45.71473,-44.30922,-42.94799,-42.7835
quantile(ag_8),-52.14261,-45.36324,-43.40653,-41.93582,-41.20227
quantile(ag_9),-49.99606,-48.31621,-47.94524,-47.68079,-47.52127
quantile(ag_10),-48.14515,-47.17923,-45.7672,-45.13877,-44.34968
quantile(ag_11),-45.62123,-45.58487,-45.22422,-44.58089,-44.57081
quantile(ag_12),-48.5607,-46.16263,-45.89143,-45.60072,-44.12666
quantile(ag_13),-49.15772,-48.78631,-48.44351,-48.08609,-46.95927
quantile(ag_14),-48.68706,-46.43368,-46.1908,-45.82127,-45.39341
quantile(ag_15),-44.25218,-43.14536,-43.01233,-42.62205,-41.52885
quantile(ag_16),-48.31428,-47.35725,-46.7916,-46.48111,-46.28956
quantile(ag_17),-46.23429,-45.15694,-44.3759,-43.79778,-43.32921
quantile(ag_18),-50.27354,-48.50256,-48.07175,-45.6694,-45.17554
quantile(ag_19),-43.37577,-43.25826,-42.60826,-42.47179,-42.37261
quantile(ag_20),-46.87256,-45.31397,-44.85632,-44.11213,-42.50527
quantile(ag_21),-43.8528,-42.87373,-42.70484,-42.1713,-39.81052
quantile(ag_22),-49.34987,-44.94596,-43.497,-42.5376,-40.80336
quantile(ag_23),-49.06369,-48.77482,-47.56748,-45.99608,-44.61505
quantile(ag_24),-47.58268,-45.99423,-44.76024,-43.29505,-43.02996
quantile(ag_25),-47.5364,-45.72264,-45.06442,-44.6626,-43.61803
quantile(ag_26),-49.50989,-49.28196,-49.0581,-48.28531,-47.84262
quantile(ag_27),-48.46554,-47.23953,-46.42853,-45.54305,-44.09359
