Ab_set_id,data_set,mean,range,sd,redundancy,median
43,free_pdb,-50.67624,0.664953,0.4701928,2,
44,free_pdb,-42.97726,,,1,
45,free_pdb,-46.95278,3.228181,1.7694774,3,
46,free_pdb,-50.89005,4.464288,3.1567283,2,
47,free_pdb,-48.26859,2.834467,1.2819672,4,
48,free_pdb,-43.73495,,,1,
49,free_pdb,-43.14501,,,1,
50,free_pdb,-43.8811,,,1,
51,free_pdb,-42.25921,1.220381,0.4751236,5,
52,free_pdb,-48.95683,,,1,
53,free_pdb,-47.60286,3.981231,1.8505821,4,
54,free_pdb,-50.6715,,,1,
55,free_pdb,-43.11484,5.449025,2.1277319,7,
56,free_pdb,-44.71715,,,1,
57,free_pdb,-49.26647,,,1,
58,free_pdb,-49.93557,,,1,
59,free_pdb,-45.1512,2.720245,1.1875222,4,
60,free_pdb,-44.178,,,1,
61,free_pdb,-43.76824,,,1,
62,free_pdb,-48.28949,0.245458,0.173565,2,
63,free_pdb,-49.56932,,,1,
64,free_pdb,-44.81053,,,1,
65,free_pdb,-45.1512,2.720245,1.1875222,4,
66,free_pdb,-48.9889,0.694306,0.347988,3,
1,complex_pdb,-47.11928,1.113054,0.6011993,3,
2,complex_pdb,-39.17744,3.550383,1.2674874,7,
3,complex_pdb,-46.85201,2.880802,1.095074,5,
4,complex_pdb,-47.98837,1.297193,0.6547149,3,
5,complex_pdb,-50.89481,2.968729,1.2719852,4,
6,complex_pdb,-47.024,1.07318,0.5453673,3,
7,complex_pdb,-44.32793,3.506402,1.5041556,7,
8,complex_pdb,-46.96618,8.148378,4.4993098,3,
9,complex_pdb,-47.95639,0.892554,0.3701511,4,
10,complex_pdb,-46.92153,2.58455,1.3447286,4,
11,complex_pdb,-45.08945,1.050429,0.5932572,4,
12,complex_pdb,-46.05082,3.531677,0.7578646,19,
13,complex_pdb,-47.48714,1.055755,0.7465315,2,
14,complex_pdb,-46.45539,3.293656,1.1768552,6,
15,complex_pdb,-43.092,1.995354,0.5938424,11,
16,complex_pdb,-46.62425,0.748673,0.3805829,3,
17,complex_pdb,-44.027,1.468619,0.7370282,3,
18,complex_pdb,-48.00585,5.098002,2.1137762,4,
19,complex_pdb,-42.37261,,,1,
20,complex_pdb,-44.56813,3.171021,1.0525367,11,
21,complex_pdb,-42.62957,0.921621,0.3951617,4,
22,complex_pdb,-45.36106,6.609385,2.9720135,4,
23,complex_pdb,-48.06622,2.60727,1.4073614,3,
24,complex_pdb,-45.35087,4.552725,2.0372703,6,
25,complex_pdb,-46.32723,2.418345,1.7100281,2,
26,complex_pdb,-48.71311,1.66727,0.6949336,6,
27,complex_pdb,-47.10754,2.439341,1.2429836,3,
28,complex_pdb,-40.51622,1.142307,0.6172886,3,
29,complex_pdb,-45.66217,4.296886,1.8622848,6,
30,complex_pdb,-45.62207,3.552779,1.5065537,5,
31,complex_pdb,-42.34761,0.737612,0.5215704,2,
32,complex_pdb,-46.3543,7.38071,4.2410524,3,
33,complex_pdb,-44.1161,3.956863,1.21783,15,
34,complex_pdb,-44.65764,1.560169,1.1032061,2,
35,complex_pdb,-41.85407,6.819433,4.8220673,2,
36,complex_pdb,-47.6218,0.512255,0.2764507,3,
37,complex_pdb,-39.15227,1.215623,0.6088694,3,
38,complex_pdb,-48.75985,4.94848,2.4657009,4,
39,complex_pdb,-47.58023,5.50372,2.0022787,5,
40,complex_pdb,-43.91249,3.804828,1.067098,11,
41,complex_pdb,-47.92461,2.051094,0.6328579,12,
42,complex_pdb,-46.66967,1.388423,0.5467167,5,
43,complex_pdb,-51.3188,1.304317,0.9222914,2,
44,complex_pdb,-44.50837,0.67776,0.355302,3,
45,complex_pdb,-48.2851,,,1,
46,complex_pdb,-47.06976,4.476863,3.1656202,2,
47,complex_pdb,-48.16003,3.002781,2.1232868,2,
48,complex_pdb,-44.46214,1.953091,0.9921412,3,
49,complex_pdb,-44.24551,4.669678,1.5330156,6,
50,complex_pdb,-44.13174,1.442561,0.6276232,4,
51,complex_pdb,-42.80526,3.186637,1.173413,5,
52,complex_pdb,-47.4747,2.650443,1.1212049,4,
53,complex_pdb,-47.46754,1.270979,0.8987179,2,
54,complex_pdb,-46.45492,8.723699,4.9788456,3,
55,complex_pdb,-46.96618,8.148378,4.4993098,3,
56,complex_pdb,-47.8951,4.829705,2.6195914,3,
57,complex_pdb,-48.71311,1.66727,0.6949336,6,
58,complex_pdb,-46.12303,1.686084,0.9445076,3,
59,complex_pdb,-44.68243,3.434451,1.0788395,12,
60,complex_pdb,-49.14462,4.579929,2.5880305,3,
61,complex_pdb,-45.63461,4.443557,1.9385085,4,
62,complex_pdb,-49.94884,8.089146,3.7383451,4,
63,complex_pdb,-52.50881,2.929417,1.348279,5,
64,complex_pdb,-44.48501,1.04328,0.4508779,4,
65,complex_pdb,-44.68243,3.434451,1.0788395,12,
66,complex_pdb,-49.10034,,,1,
1,All_redund_4to6,-47.00779,1.113054,0.5391518,4,
2,All_redund_4to6,,,,,
3,All_redund_4to6,-46.79277,2.880802,0.9901522,6,
4,All_redund_4to6,-47.96295,1.297193,0.5994892,5,
5,All_redund_4to6,-50.78396,2.968729,1.1291145,5,
6,All_redund_4to6,-46.85746,1.259038,0.5560883,4,
7,All_redund_4to6,,,,,
8,All_redund_4to6,,,,,
9,All_redund_4to6,-48.24005,2.47479,0.9167923,6,
10,All_redund_4to6,-46.12683,3.795474,1.4226085,,
11,All_redund_4to6,-45.1164,1.050429,0.5172989,5,
12,All_redund_4to6,,,,,
13,All_redund_4to6,,,,,
14,All_redund_4to6,,,,,
15,All_redund_4to6,,,,,
16,All_redund_4to6,-47.04676,2.024718,0.9003393,4,
17,All_redund_4to6,-44.57882,2.90508,1.2570474,4,
18,All_redund_4to6,-47.53856,5.098002,2.1078036,5,
19,All_redund_4to6,-42.81734,1.003157,0.4656066,5,
20,All_redund_4to6,,,,,
21,All_redund_4to6,,,,,
22,All_redund_4to6,,,,,
23,All_redund_4to6,-47.20342,4.448644,2.0731826,4,
24,All_redund_4to6,,,,,
25,All_redund_4to6,-45.32082,3.918365,1.6274216,4,
26,All_redund_4to6,,,,,
27,All_redund_4to6,-46.35405,4.371957,1.8168591,4,
28,All_redund_4to6,-40.74913,1.367615,0.6863116,4,
29,All_redund_4to6,-45.5405,4.296886,1.7302306,,
30,All_redund_4to6,-44.61245,6.077366,2.3239004,,
31,All_redund_4to6,-42.19895,0.903666,0.3971912,4,
32,All_redund_4to6,-45.64351,7.740125,3.743246,4,
33,All_redund_4to6,,,,,
34,All_redund_4to6,-42.05329,6.074268,3.0747498,4,
35,All_redund_4to6,-40.50448,8.362036,4.0684333,5,
36,All_redund_4to6,-47.62677,0.512255,0.22594,4,
37,All_redund_4to6,-40.31082,5.262697,2.3698178,4,
38,All_redund_4to6,-47.7363,7.758262,3.1301737,5,
39,All_redund_4to6,,,,,
40,All_redund_4to6,,,,,
41,All_redund_4to6,,,,,
42,All_redund_4to6,-46.54823,1.501983,0.5723703,6,
43,All_redund_4to6,-50.99752,1.627187,0.7034619,4,
44,All_redund_4to6,-44.12559,1.808345,0.8186776,4,
45,All_redund_4to6,-47.28586,3.228181,1.5909536,4,
46,All_redund_4to6,-48.97991,8.290868,3.3951298,4,
47,All_redund_4to6,-48.2324,3.409705,1.3750913,6,
48,All_redund_4to6,-44.28034,1.953091,0.8879353,4,
49,All_redund_4to6,,,,,
50,All_redund_4to6,-44.08161,1.442561,0.5549751,5,
51,All_redund_4to6,,,,,
52,All_redund_4to6,-47.77113,2.650443,1.1756542,5,
53,All_redund_4to6,-47.55775,3.981231,1.4903738,6,
